action_class_type,agent_class_type,action_id,from_node_id,to_node_id,agent_des_id,service_des_id,time_intervention,log
DiscreteNodeIPTInterventions,CloudAgent,1,0,0,3,,2500.0,
DiscreteNodeIPTInterventions,CloudAgent,0,0,0,3,,4030.0,
DiscreteNodeIPTInterventions,CloudAgent,0,0,0,3,,4863.333333333333,
DiscreteNodeIPTInterventions,CloudAgent,1,0,0,3,,7363.333333333332,
DiscreteNodeIPTInterventions,CloudAgent,0,0,0,3,,8383.333333333332,
DiscreteNodeIPTInterventions,CloudAgent,0,0,0,3,,9216.666666666666,
DiscreteNodeIPTInterventions,CloudAgent,1,0,0,3,,11716.666666666668,
DiscreteNodeIPTInterventions,CloudAgent,0,0,0,3,,12736.666666666668,
DiscreteNodeIPTInterventions,CloudAgent,0,0,0,3,,13570.000000000002,
DiscreteNodeIPTInterventions,CloudAgent,1,0,0,3,,16070.000000000004,
DiscreteNodeIPTInterventions,CloudAgent,0,0,0,3,,17090.000000000004,
DiscreteNodeIPTInterventions,CloudAgent,0,0,0,3,,17923.333333333336,
DiscreteNodeIPTInterventions,CloudAgent,1,0,0,3,,20423.333333333332,
DiscreteNodeIPTInterventions,CloudAgent,0,0,0,3,,21443.333333333332,
DiscreteNodeIPTInterventions,CloudAgent,0,0,0,3,,22276.666666666664,
DiscreteNodeIPTInterventions,CloudAgent,1,0,0,3,,24776.66666666666,
