provider,arm,provider_id,region_id,horizon,region_rho,rho,sigma_i1,sigma_m1_local,p_i1_jeffreys,p_reconstruction_jeffreys,bernoulli_kl,error
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,5.0,0.95,0.95,0.7,0.87,0.698019801980198,0.8663366336633663,0.09533455004165434,0.17000000000000004
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,10.0,0.95,0.95,0.55,0.84,0.5495049504950495,0.8366336633663366,0.22596595043956225,0.2899999999999999
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,15.0,0.95,0.95,0.52,0.88,0.5198019801980198,0.8762376237623762,0.37963428093515117,0.36
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,20.0,0.95,0.95,0.47,0.9,0.47029702970297027,0.8960396039603961,0.559355797934731,0.43000000000000005
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,25.0,0.95,0.95,0.57,0.9,0.5693069306930693,0.8960396039603961,0.3539633188475982,0.33000000000000007
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,30.0,0.95,0.95,0.52,0.91,0.5198019801980198,0.905940594059406,0.4940899735340305,0.39
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,35.0,0.95,0.95,0.53,0.91,0.5297029702970297,0.905940594059406,0.4726448941318389,0.38
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,40.0,0.95,0.95,0.51,0.91,0.5099009900990099,0.905940594059406,0.5159278132219451,0.4
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,45.0,0.95,0.95,0.57,0.95,0.5693069306930693,0.9455445544554455,0.6018458818113952,0.38
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,50.0,0.95,0.95,0.51,0.97,0.5099009900990099,0.9653465346534653,0.9729202557546281,0.45999999999999996
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,55.0,0.95,0.95,0.47,0.96,0.47029702970297027,0.9554455445544554,0.9779821399432458,0.49
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,60.0,0.95,0.95,0.47,0.94,0.47029702970297027,0.9356435643564357,0.7930467441110148,0.47
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,65.0,0.95,0.95,0.52,0.98,0.5198019801980198,0.9752475247524752,1.0968363002859973,0.45999999999999996
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,70.0,0.95,0.95,0.48,0.99,0.4801980198019802,0.9851485148514851,1.5030096206581227,0.51
