lambda,selected_lambda,mean_validation_bernoulli_kl,median_validation_bernoulli_kl,mean_validation_mse,ProviderA_ESS,ProviderB_ESS,ProviderC_ESS,joint_ESS,ProviderA_max_weight,ProviderB_max_weight,ProviderC_max_weight,max_joint_weight,top3_joint_mass,top14_joint_mass,K_99_9pct,retained_mass_at_K,omitted_mass_at_K,top14_identity_stable_vs_lambda30,cv_KL_excess_over_best,cv_KL_ratio_to_best
0.0,False,0.4042979429624145,0.4716153956042362,0.1611003727186182,47.99999999999999,47.99999999999999,47.99999999999999,110591.99999999996,0.020833333333333332,0.020833333333333332,0.020833333333333332,9.04224537037037e-06,2.712673611111111e-05,0.00012659143518518518,110482,0.9990053530076112,0.0009946469923888257,False,0.27825603446280334,3.207646946758678
0.25,False,0.3418309576819737,0.3591559756119066,0.1320231472883823,46.46016803182747,44.2467331993327,45.34425512589057,93214.6686003317,0.032732367910248854,0.03414599978336226,0.03137649167266385,3.5068859251929696e-05,0.00010485647537859205,0.0004727213271985549,110354,0.9990016970149563,0.0009983029850436642,True,0.2157890491823625,2.712042064033235
0.5,False,0.2994120489685716,0.2800676842121092,0.1128478159497351,40.768993233898584,35.68504151300387,39.546985182539835,57534.663105874635,0.04977779148332128,0.05158944765438265,0.04464070407824087,0.0001146377194861683,0.00034163077649365187,0.001488554399190468,109983,0.9990012141564474,0.0009987858435526187,True,0.1733701404689604,2.375495995996405
1.0,False,0.2446953875269295,0.2377081847266899,0.0886479095522126,22.22844667166201,21.036343976998314,27.58864110588995,12900.593428637689,0.10101857436873335,0.09497470702047021,0.07880893391126768,0.0007561094227549222,0.0022383921771450817,0.009122881904842478,104148,0.9990000659229632,0.0009999340770368015,True,0.11865347902731829,1.9413811678969009
2.0,False,0.1726618819960502,0.1840528218643772,0.0584793620676037,6.4351037197299625,9.743494996932437,12.667295270475837,794.2444917512902,0.22683579379829721,0.18975192420474893,0.17134885820726814,0.007375288087424368,0.02154846217900963,0.07727055639785901,50285,0.9990000536896115,0.0009999463103884665,True,0.04661997349643901,1.3698767660010704
3.0,False,0.1409420856251234,0.1512538706102152,0.0478177904880048,3.9701189516857283,6.309735677684774,6.786872197316927,170.0138713958986,0.2995509253001621,0.2759659464162786,0.27637623644053283,0.022846877776579844,0.06588784586354662,0.2094724722790651,16224,0.9990000161225159,0.000999983877484123,True,0.014900177125512198,1.1182160545082365
5.0,False,0.1296383592011228,0.1324933377764038,0.0435784635407619,3.1455399414329994,3.964495210088095,3.4395585635106274,42.8929395024318,0.3468121923082858,0.41803178232183663,0.45179199096988387,0.06550013369337225,0.18410632097646626,0.4710523326147474,1432,0.9990010542662526,0.0009989457337473695,True,0.0035964507015116,1.0285337690005123
7.5,False,0.1300255519959652,0.1156965105229321,0.0425842915997309,2.999314745225051,2.6730001816291353,2.3024882545401884,18.459437131936102,0.3658597845369855,0.5674648746319554,0.6000484586591797,0.12457760668619168,0.3393407817296,0.6917478709754364,300,0.9990054790158568,0.00099452098414321,True,0.003983643496353995,1.031605705941578
10.0,False,0.1295877615259618,0.1152437689331395,0.0418758216514104,2.965653067947295,1.9608679531146966,1.8264899558126866,10.621503132904719,0.3783414446792954,0.6927978018132382,0.7020689464277535,0.1840221849208009,0.48615813676240616,0.8272930091605378,111,0.9990094962642747,0.00099050373572529,True,0.003545853026350604,1.028132333670285
15.0,False,0.1276655867009909,0.1128799941951129,0.0406869029887142,2.91868500518641,1.3358469313086079,1.4059702295694134,5.481760396714131,0.4014684221552299,0.860749852762013,0.8290296676335767,0.28648271294219724,0.7135800443022136,0.9511695604492872,49,0.9990617077368383,0.0009382922631616664,True,0.001623678201379708,1.0128820502696905
