rho_global,regime,regime_label,horizon,sigma_weighted_member_mean,ambiguity_weighted_variance_raw,ambiguity_weighted_std_raw,mc_noise_contribution_plugin,mc_noise_contribution_worstcase_expected,ambiguity_variance_plugin_corrected,ambiguity_std_plugin_corrected,ambiguity_member_min,ambiguity_member_max,ambiguity_member_range,retained_weight_ess,n_retained_hypotheses,interpretation,sigma_m1,sigma_m2_mean,sigma_m3_B2000,sigma_whitebox,abs_error_m1,abs_error_m2,abs_error_m3_B2000
0.95,G0,R_easy,60.0,0.9604344644058789,0.00018630517070282443,0.013649365212449421,0.00019574836073369108,0.0014673756194154889,0.0,0.0,0.6666666666666666,1.0,0.33333333333333337,2.957231764306276,14,posthoc retained-member spread; corrected field removes a plug-in estimate of expected member-MC contribution; min-max is descriptive only and is not an uncertainty interval,1.0,0.98,0.9604344644058797,0.94,0.06000000000000005,0.040000000000000036,0.020434464405879704
0.95,G0,R_easy,65.0,0.9674461327774059,0.0002121481099981277,0.014565305008757204,0.0001654480217641673,0.0014673756194154889,4.670008823396039e-05,0.006833746281064318,0.6666666666666666,1.0,0.33333333333333337,2.957231764306276,14,posthoc retained-member spread; corrected field removes a plug-in estimate of expected member-MC contribution; min-max is descriptive only and is not an uncertainty interval,1.0,0.98,0.9674461327774064,0.945,0.05500000000000005,0.03500000000000003,0.02244613277740648
0.95,G0,R_easy,70.0,0.9671514126348892,0.000516876979449812,0.022734928622052283,0.00016428937326016263,0.0014673756194154889,0.0003525876061896494,0.01877731626696556,0.0,1.0,1.0,2.957231764306276,14,posthoc retained-member spread; corrected field removes a plug-in estimate of expected member-MC contribution; min-max is descriptive only and is not an uncertainty interval,1.0,0.98,0.96715141263489,0.945,0.05500000000000005,0.03500000000000003,0.022151412634890066
0.95,G0,R_easy,75.0,0.9651516877866226,0.0004957823442210277,0.02226617039863451,0.00016704910344516788,0.0014673756194154889,0.00032873324077585986,0.01813100219998497,0.0,1.0,1.0,2.957231764306276,14,posthoc retained-member spread; corrected field removes a plug-in estimate of expected member-MC contribution; min-max is descriptive only and is not an uncertainty interval,1.0,0.981111111111111,0.9651516877866232,0.945,0.05500000000000005,0.036111111111111094,0.02015168778662324
0.95,G0,R_easy,80.0,0.9651522781713118,0.00048662957890627267,0.022059682203202126,0.0001675184653052363,0.0014673756194154889,0.00031911111360103636,0.01786368141232474,0.0,1.0,1.0,2.957231764306276,14,posthoc retained-member spread; corrected field removes a plug-in estimate of expected member-MC contribution; min-max is descriptive only and is not an uncertainty interval,1.0,0.98,0.9651522781713124,0.95,0.050000000000000044,0.030000000000000027,0.015152278171312483
0.95,G0,R_easy,85.0,0.9731992994412748,0.00034780458660447485,0.018649519741925656,2.455283760183971e-05,0.0014673756194154889,0.00032325174900263513,0.01797920323603455,0.0,1.0,1.0,2.957231764306276,14,posthoc retained-member spread; corrected field removes a plug-in estimate of expected member-MC contribution; min-max is descriptive only and is not an uncertainty interval,1.0,0.98,0.9731992994412754,0.955,0.04500000000000004,0.025000000000000022,0.018199299441275407
0.95,G0,R_easy,90.0,0.9741987190768913,0.00036010326440910395,0.018976387022009853,2.279991172176778e-05,0.0014673756194154889,0.00033730335268733616,0.018365820229092306,0.0,1.0,1.0,2.957231764306276,14,posthoc retained-member spread; corrected field removes a plug-in estimate of expected member-MC contribution; min-max is descriptive only and is not an uncertainty interval,1.0,0.9774074074074072,0.974198719076892,0.95,0.050000000000000044,0.027407407407407214,0.024198719076892083
0.95,G0,R_easy,95.0,0.978700561160498,0.0003238244607158724,0.017995123248143438,1.9489980664300703e-05,0.0014673756194154889,0.0003043344800515717,0.017445185010528597,0.0,1.0,1.0,2.957231764306276,14,posthoc retained-member spread; corrected field removes a plug-in estimate of expected member-MC contribution; min-max is descriptive only and is not an uncertainty interval,1.0,0.9792592592592592,0.9787005611604984,0.95,0.050000000000000044,0.029259259259259207,0.02870056116049846
0.95,G0,R_easy,100.0,0.9787017476716902,0.00031446154480170373,0.017733063604513002,2.0666903085146457e-05,0.0014673756194154889,0.0002937946417165573,0.017140438784248122,0.0,1.0,1.0,2.957231764306276,14,posthoc retained-member spread; corrected field removes a plug-in estimate of expected member-MC contribution; min-max is descriptive only and is not an uncertainty interval,1.0,0.98,0.9787017476716908,0.945,0.05500000000000005,0.03500000000000003,0.033701747671690874
0.95,G0,R_easy,105.0,0.9832026984364493,0.0003017140020048401,0.017369916580249892,1.6379723131468442e-05,0.0014673756194154889,0.00028533427887337165,0.016891840600519875,0.0,1.0,1.0,2.957231764306276,14,posthoc retained-member spread; corrected field removes a plug-in estimate of expected member-MC contribution; min-max is descriptive only and is not an uncertainty interval,1.0,0.9822222222222222,0.9832026984364496,0.95,0.050000000000000044,0.03222222222222226,0.03320269843644963
0.95,G0,R_easy,110.0,0.9837027005756946,0.00030971418308885804,0.017598698335071775,1.5619056639343325e-05,0.0014673756194154889,0.00029409512644951473,0.01714920191873414,0.0,1.0,1.0,2.957231764306276,14,posthoc retained-member spread; corrected field removes a plug-in estimate of expected member-MC contribution; min-max is descriptive only and is not an uncertainty interval,1.0,0.9833333333333334,0.9837027005756952,0.955,0.04500000000000004,0.028333333333333433,0.02870270057569524
0.95,G0,R_easy,115.0,0.984497428599271,1.1824899733653133e-05,0.0034387351938835204,1.624753265692735e-05,0.0014673756194154889,0.0,0.0,0.9822866344605476,1.0,0.017713365539452353,2.957231764306276,14,posthoc retained-member spread; corrected field removes a plug-in estimate of expected member-MC contribution; min-max is descriptive only and is not an uncertainty interval,1.0,0.9866666666666668,0.9844974285992716,0.96,0.040000000000000036,0.02666666666666684,0.02449742859927162
0.95,G0,R_easy,120.0,0.9859977474347955,8.875823867085954e-06,0.0029792320935244296,1.4876554570639134e-05,0.0014673756194154889,0.0,0.0,0.9847328244274808,1.0,0.01526717557251922,2.957231764306276,14,posthoc retained-member spread; corrected field removes a plug-in estimate of expected member-MC contribution; min-max is descriptive only and is not an uncertainty interval,1.0,0.9866666666666668,0.985997747434796,0.96,0.040000000000000036,0.02666666666666684,0.025997747434795992
0.95,G0,R_easy,125.0,0.9874977710779752,1.2400717598878875e-05,0.0035214652630515715,1.3251310029333803e-05,0.0014673756194154889,0.0,0.0,0.9847328244274808,1.0,0.01526717557251922,2.957231764306276,14,posthoc retained-member spread; corrected field removes a plug-in estimate of expected member-MC contribution; min-max is descriptive only and is not an uncertainty interval,1.0,0.9866666666666668,0.9874977710779758,0.96,0.040000000000000036,0.02666666666666684,0.027497771077975797
