rho_global,regime,horizon,rank_a,rank_b,energy_a,energy_b,abs_energy_difference,sigma_a,sigma_b,abs_sigma_difference,alpha_a,alpha_b,n_a,n_b,pair_worstcase_mc_se_bound,sigma_gap_minus_1p96_worstcase_mc_se
0.95,G0,70.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G0,75.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G0,80.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G0,85.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G0,90.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G0,95.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G0,100.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G0,105.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G0,110.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,60.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,100.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,105.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,110.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,115.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,120.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,125.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,130.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,135.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,140.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,145.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,150.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,155.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,160.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,165.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,170.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,175.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,180.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,185.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,190.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,195.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,200.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,205.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,210.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,215.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,220.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,225.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,230.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,235.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G1,240.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
