rho_global,regime,horizon,sigma_whitebox,sigma_m3_top1_existing,n_trajectories,variant_id,error_top1_existing,abs_error_top1_existing,diagnostic_role
0.95,G0,60.0,0.94,0.9577777777777776,900,M3Q_R01,0.01777777777777767,0.01777777777777767,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,65.0,0.945,0.9611111111111112,900,M3Q_R01,0.016111111111111298,0.016111111111111298,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,70.0,0.945,0.96,900,M3Q_R01,0.015000000000000013,0.015000000000000013,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,75.0,0.945,0.9588888888888888,900,M3Q_R01,0.01388888888888884,0.01388888888888884,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,80.0,0.95,0.9611111111111112,900,M3Q_R01,0.011111111111111294,0.011111111111111294,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,85.0,0.955,0.9688888888888888,900,M3Q_R01,0.01388888888888884,0.01388888888888884,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,90.0,0.95,0.9677777777777776,900,M3Q_R01,0.01777777777777767,0.01777777777777767,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,95.0,0.95,0.9744444444444444,900,M3Q_R01,0.02444444444444449,0.02444444444444449,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,100.0,0.945,0.9777777777777776,900,M3Q_R01,0.032777777777777684,0.032777777777777684,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,105.0,0.95,0.9822222222222222,900,M3Q_R01,0.03222222222222226,0.03222222222222226,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,110.0,0.955,0.9833333333333332,900,M3Q_R01,0.02833333333333321,0.02833333333333321,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,115.0,0.96,0.9844444444444445,900,M3Q_R01,0.02444444444444449,0.02444444444444449,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,120.0,0.96,0.9855555555555556,900,M3Q_R01,0.025555555555555665,0.025555555555555665,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,125.0,0.96,0.9855555555555556,900,M3Q_R01,0.025555555555555665,0.025555555555555665,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,130.0,0.955,0.9866666666666668,900,M3Q_R01,0.03166666666666684,0.03166666666666684,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,135.0,0.955,0.9888888888888888,900,M3Q_R01,0.03388888888888886,0.03388888888888886,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,140.0,0.96,0.9888888888888888,900,M3Q_R01,0.028888888888888853,0.028888888888888853,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,145.0,0.965,0.9877777777777778,900,M3Q_R01,0.022777777777777786,0.022777777777777786,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,150.0,0.965,0.9888888888888888,900,M3Q_R01,0.02388888888888885,0.02388888888888885,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,155.0,0.965,0.9877777777777778,900,M3Q_R01,0.022777777777777786,0.022777777777777786,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,160.0,0.965,0.9866666666666668,900,M3Q_R01,0.021666666666666834,0.021666666666666834,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G0,165.0,0.965,0.9911111111111112,900,M3Q_R01,0.026111111111111196,0.026111111111111196,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
