beta,method,subset,n_evaluated,decision_agreement_rate,decision_disagreement_rate,false_accept_count,false_reject_count
0.8,TOP1_1400,all_reference_points,555,0.990990990990991,0.009009009009009009,5,0
0.8,TOP1_1400,wb_wilson95_certain_only,440,1.0,0.0,0,0
0.8,UNIFORM14_EQ_1400,all_reference_points,555,0.990990990990991,0.009009009009009009,5,0
0.8,UNIFORM14_EQ_1400,wb_wilson95_certain_only,440,1.0,0.0,0,0
0.8,WEIGHTED14_EQ_1400,all_reference_points,555,0.990990990990991,0.009009009009009009,5,0
0.8,WEIGHTED14_EQ_1400,wb_wilson95_certain_only,440,1.0,0.0,0,0
0.8,WEIGHTED14_MINIMAX_1400,all_reference_points,555,0.990990990990991,0.009009009009009009,5,0
0.8,WEIGHTED14_MINIMAX_1400,wb_wilson95_certain_only,440,1.0,0.0,0,0
0.9,TOP1_1400,all_reference_points,555,0.9441441441441442,0.055855855855855854,29,2
0.9,TOP1_1400,wb_wilson95_certain_only,481,0.9708939708939709,0.029106029106029108,14,0
0.9,UNIFORM14_EQ_1400,all_reference_points,555,0.7855855855855856,0.21441441441441442,119,0
0.9,UNIFORM14_EQ_1400,wb_wilson95_certain_only,481,0.8316008316008316,0.1683991683991684,81,0
0.9,WEIGHTED14_EQ_1400,all_reference_points,555,0.8342342342342343,0.16576576576576577,92,0
0.9,WEIGHTED14_EQ_1400,wb_wilson95_certain_only,481,0.8648648648648649,0.13513513513513514,65,0
0.9,WEIGHTED14_MINIMAX_1400,all_reference_points,555,0.9315315315315316,0.06846846846846846,37,1
0.9,WEIGHTED14_MINIMAX_1400,wb_wilson95_certain_only,481,0.9646569646569647,0.035343035343035345,17,0
0.95,TOP1_1400,all_reference_points,555,0.9513513513513514,0.04864864864864865,27,0
0.95,TOP1_1400,wb_wilson95_certain_only,370,1.0,0.0,0,0
0.95,UNIFORM14_EQ_1400,all_reference_points,555,0.918918918918919,0.08108108108108109,45,0
0.95,UNIFORM14_EQ_1400,wb_wilson95_certain_only,370,0.9513513513513514,0.04864864864864865,18,0
0.95,WEIGHTED14_EQ_1400,all_reference_points,555,0.9315315315315316,0.06846846846846846,38,0
0.95,WEIGHTED14_EQ_1400,wb_wilson95_certain_only,370,0.9702702702702702,0.02972972972972973,11,0
0.95,WEIGHTED14_MINIMAX_1400,all_reference_points,555,0.9513513513513514,0.04864864864864865,27,0
0.95,WEIGHTED14_MINIMAX_1400,wb_wilson95_certain_only,370,1.0,0.0,0,0
