rank,variant_id,alpha_renormalized,joint_weight,ProviderA_candidate_id,ProviderB_candidate_id,ProviderC_candidate_id,n_equal_support,n_top1_full,n_simulated,seed_start,seed_end_inclusive
1,M3ABL_R01,0.4502727660640246,0.4499009294708063,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,100,1400,1400,4000000,4001399
2,M3ABL_R02,0.3105048941382184,0.310248478270514,ProviderA_LHS_045,ProviderB_LHS_039,ProviderC_LHS_038,100,0,100,4000000,4000099
3,M3ABL_R03,0.1963848301321259,0.1962226549536571,ProviderA_LHS_021,ProviderB_LHS_039,ProviderC_LHS_038,100,0,100,4000000,4000099
4,M3ABL_R04,0.0155791138477996,0.0155662485691172,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_029,100,0,100,4000000,4000099
5,M3ABL_R05,0.0107432460070002,0.0107343742024044,ProviderA_LHS_045,ProviderB_LHS_039,ProviderC_LHS_029,100,0,100,4000000,4000099
6,M3ABL_R06,0.0067947738730752,0.0067891627285445,ProviderA_LHS_021,ProviderB_LHS_039,ProviderC_LHS_029,100,0,100,4000000,4000099
7,M3ABL_R07,0.0037363282739307,0.003733242802898,ProviderA_LHS_026,ProviderB_LHS_022,ProviderC_LHS_038,100,0,100,4000000,4000099
8,M3ABL_R08,0.0025765453800453,0.0025744176611856,ProviderA_LHS_045,ProviderB_LHS_022,ProviderC_LHS_038,100,0,100,4000000,4000099
9,M3ABL_R09,0.0016295859947466,0.0016282402777717,ProviderA_LHS_021,ProviderB_LHS_022,ProviderC_LHS_038,100,0,100,4000000,4000099
10,M3ABL_R10,0.0004977145036782,0.0004973034895566,ProviderA_LHS_026,ProviderB_LHS_027,ProviderC_LHS_038,100,0,100,4000000,4000099
11,M3ABL_R11,0.0004260819532882,0.0004257300935404,ProviderA_LHS_026,ProviderB_LHS_041,ProviderC_LHS_038,100,0,100,4000000,4000099
12,M3ABL_R12,0.0003432203786753,0.0003429369462629,ProviderA_LHS_045,ProviderB_LHS_027,ProviderC_LHS_038,100,0,100,4000000,4000099
13,M3ABL_R13,0.0002938230818542,0.0002935804418769,ProviderA_LHS_045,ProviderB_LHS_041,ProviderC_LHS_038,100,0,100,4000000,4000099
14,M3ABL_R14,0.000217076371537,0.000216897109222,ProviderA_LHS_021,ProviderB_LHS_027,ProviderC_LHS_038,100,0,100,4000000,4000099
