scope,method,n_points,mae,rmse,bias,max_abs_error
ALL,TOP1_1400,555,0.028783783783783802,0.034060270709674746,0.024981981981982,0.09571428571428575
ALL,UNIFORM14_EQ_1400,555,0.05490347490347496,0.06569843410178894,0.05361904761904768,0.14714285714285702
ALL,WEIGHTED14_EQ_1400,555,0.042220937632450654,0.05015896900929127,0.04066149919868326,0.12486549305512096
ALL,WEIGHTED14_MINIMAX_1400,555,0.030368445209561265,0.03578288032993379,0.028240347291067357,0.11408756421018984
G0,TOP1_1400,185,0.022965250965251,0.023881487128491106,0.022965250965251,0.03928571428571437
G0,UNIFORM14_EQ_1400,185,0.029154440154440308,0.03039830278015474,0.029154440154440308,0.050000000000000044
G0,WEIGHTED14_EQ_1400,185,0.028038426859124447,0.029326123365058878,0.028038426859124447,0.04999999999999949
G0,WEIGHTED14_MINIMAX_1400,185,0.02363166816074175,0.02466987953833544,0.02363166816074175,0.04139517763893563
G1,TOP1_1400,185,0.03454054054054055,0.040499160716654964,0.03143629343629345,0.08642857142857152
G1,UNIFORM14_EQ_1400,185,0.06278378378378384,0.07093145545816915,0.06222007722007726,0.13071428571428545
G1,WEIGHTED14_EQ_1400,185,0.052450665778748795,0.06098236113007519,0.051700581042072924,0.12165585668639323
G1,WEIGHTED14_MINIMAX_1400,185,0.035528556618686875,0.04103742442527113,0.035022188197491234,0.08445083281463106
G2,TOP1_1400,185,0.028845559845559848,0.03563423460981374,0.02054440154440154,0.09571428571428575
G2,UNIFORM14_EQ_1400,185,0.07277220077220076,0.08362729545401498,0.06948262548262547,0.14714285714285702
G2,WEIGHTED14_EQ_1400,185,0.04617372025947872,0.054487582398226916,0.04224548969485242,0.12486549305512096
G2,WEIGHTED14_MINIMAX_1400,185,0.03194511084925517,0.039351879424282483,0.026067185514969088,0.11408756421018984
