rank,variant_id,n_trajectories,sha256
1,M3ABL_R01,1400,b9872a96af84b2d55068f11f4af728754a912e8a46a8de3a9a269357ba51bba4
2,M3ABL_R02,100,20eaef39ace09be2fd410ee34c99d3ba8c73ac3e943e7b27f05f1e515b95e764
3,M3ABL_R03,100,b47456bb0d3d2f4b7c67f8ee4378696e302ed93bf1e7433d7ad1e6259349953c
4,M3ABL_R04,100,78a7323d6c87df6582f3eb073d94a2a4b6ca4358b5f4653b09ebf215c4a33be6
5,M3ABL_R05,100,26990491322e9ace2f2f6135f04a0a74908a65dbaade5ad1dda05f05dd49580b
6,M3ABL_R06,100,e867c85add43b796f9b2ca4949ebed92b51105e3f01ce802afa4a8e3e7e58b9b
7,M3ABL_R07,100,a3bb8458008cb5f232380fd0c0223dd63dcc2da8088f36fe9519b551fde8d919
8,M3ABL_R08,100,1c199aa97622cb32e1d10977906f105f7fe0193ee68b538939acdb4f3ce6f729
9,M3ABL_R09,100,1039cd55f7f645be94b9525b5a324bfec732afb693170b4f10a805c72078a7ca
10,M3ABL_R10,100,63ae8c9cc597bfa9dbd0a2c72c479e40398f0de037b6d53b7d6ba025ffd4fdec
11,M3ABL_R11,100,40a526b47bfba3fb43f39de9275a4388a7600ba9aebc54308a7210b9c05ef6ee
12,M3ABL_R12,100,645da9c8bacd1483080134e678c13050e5d3ee71b30c3fbe906dc10c4d958318
13,M3ABL_R13,100,99c64c93969a03d69bbcfa2310ea1c6884bbf496472e8de447ea7be1ea27bb7d
14,M3ABL_R14,100,9b80b2655cfba2c38ad881196eb3b8a929312fde2375f6f8e02729dbeaf8d426
