rank,variant_id,rho_global,regime,horizon,sigma_member_eq100,alpha_renormalized,n_trajectories
1,M3ABL_R01,0.95,G0,60.0,0.96,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,65.0,0.99,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,70.0,0.99,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,75.0,0.97,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,80.0,0.98,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,85.0,0.99,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,90.0,0.99,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,95.0,0.99,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,100.0,0.99,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,105.0,0.98,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,110.0,0.99,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,115.0,0.99,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,120.0,0.99,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,125.0,0.99,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,130.0,0.99,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,135.0,0.99,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,140.0,0.99,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,145.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,150.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,155.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,160.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,165.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,170.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,175.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,180.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,185.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,190.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,195.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,200.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,205.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,210.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,215.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,220.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,225.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,230.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,235.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G0,240.0,1.0,0.4502727660640246,100
1,M3ABL_R01,0.95,G1,60.0,0.88,0.4502727660640246,100
1,M3ABL_R01,0.95,G1,65.0,0.88,0.4502727660640246,100
1,M3ABL_R01,0.95,G1,70.0,0.88,0.4502727660640246,100
1,M3ABL_R01,0.95,G1,75.0,0.87,0.4502727660640246,100
1,M3ABL_R01,0.95,G1,80.0,0.88,0.4502727660640246,100
1,M3ABL_R01,0.95,G1,85.0,0.89,0.4502727660640246,100
1,M3ABL_R01,0.95,G1,90.0,0.88,0.4502727660640246,100
1,M3ABL_R01,0.95,G1,95.0,0.88,0.4502727660640246,100
1,M3ABL_R01,0.95,G1,100.0,0.88,0.4502727660640246,100
1,M3ABL_R01,0.95,G1,105.0,0.91,0.4502727660640246,100
1,M3ABL_R01,0.95,G1,110.0,0.9,0.4502727660640246,100
