window,summary_level,summary_key,method,n_points,mae,rmse,bias,max_abs_error,n_queries,n_not_applicable_queries
FULL_FROZEN_HORIZON_SUPPORT,whole_battery,ALL,M0,441,0.5531073197278911,0.5662515131602494,-0.5531073197278911,0.75098,15,6
FULL_FROZEN_HORIZON_SUPPORT,whole_battery,ALL,M1,735,0.16390476190476191,0.212281099738348,0.16390476190476191,0.5349999999999999,15,0
FULL_FROZEN_HORIZON_SUPPORT,whole_battery,ALL,M2,735,0.06407659360040313,0.08854425611315524,0.037068279163517265,0.3025925925925924,15,0
FULL_FROZEN_HORIZON_SUPPORT,whole_battery,ALL,M3_B1400,735,0.026472245502165207,0.03266952409983977,0.0227618076891925,0.11408756421018984,15,0
FULL_FROZEN_HORIZON_SUPPORT,whole_battery,ALL,M3_B2000,735,0.024518343673920782,0.030605579827802185,0.020076845162225222,0.11064450461794517,15,0
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G0,M0,245,0.5895561918367346,0.6024381405587613,-0.5895561918367346,0.75098,5,0
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G0,M1,245,0.036163265306122475,0.03908650792845044,0.036163265306122475,0.06000000000000005,5,0
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G0,M2,245,0.025513227513227526,0.029667738153738913,0.0032804232804232955,0.09740740740740761,5,0
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G0,M3_B1400,245,0.0194883715402414,0.02190629937211727,0.01852687610657822,0.04139517763893563,5,0
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G0,M3_B2000,245,0.01733222732905469,0.019622823680612876,0.01622785396960642,0.037998307758568495,5,0
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G1,M0,196,0.5075462295918367,0.517471839670276,-0.5075462295918367,0.696048,5,1
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G1,M1,245,0.13416326530612246,0.14211521626440132,0.13416326530612246,0.21499999999999997,5,0
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G1,M2,245,0.06623129251700682,0.07462719415197042,0.022148148148148153,0.1549999999999998,5,0
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G1,M3_B1400,245,0.03036924793377527,0.03702526497757927,0.02719292968304756,0.08445083281463106,5,0
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G1,M3_B2000,245,0.027541362515703098,0.03388428719138514,0.023189455416634454,0.0831609727398045,5,0
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G2,M0,0,,,,,5,5
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G2,M1,245,0.3213877551020409,0.33684611638320694,0.3213877551020409,0.5349999999999999,5,0
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G2,M2,245,0.10048526077097504,0.13065551300171524,0.08577626606198031,0.3025925925925924,5,0
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G2,M3_B1400,245,0.029559117032478946,0.036757818432127484,0.022565617277951727,0.11408756421018984,5,0
FULL_FROZEN_HORIZON_SUPPORT,per_regime,G2,M3_B2000,245,0.02868144117700456,0.03573379943581744,0.020813226100434793,0.11064450461794517,5,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.95,M0,98,0.6293234081632654,0.6393372025788958,-0.6293234081632654,0.75098,3,1
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.95,M1,147,0.1678571428571429,0.20953909576272686,0.1678571428571429,0.39,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.95,M2,147,0.11254850088183424,0.14283700540674082,0.11178508440413204,0.3025925925925924,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.95,M3_B1400,147,0.03951078880720197,0.04614735528965369,0.038001778408061036,0.11408756421018984,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.95,M3_B2000,147,0.037431336957073486,0.04377274560850018,0.03599941671236977,0.11064450461794517,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.975,M0,98,0.5718184897959184,0.5816561817110285,-0.5718184897959184,0.723384,3,1
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.975,M1,147,0.16578231292517007,0.21115007397937752,0.16578231292517007,0.405,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.975,M2,147,0.08348954396573448,0.10390780494712942,0.0787074829931973,0.2131481481481483,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.975,M3_B1400,147,0.030348471296963348,0.03538006082352613,0.02860412045323567,0.08445083281463106,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.975,M3_B2000,147,0.027999631042723513,0.033271408460827816,0.02637199177397619,0.0831609727398045,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.983333333333333,M0,98,0.5218660612244898,0.5325752234820917,-0.5218660612244898,0.705227,3,1
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.983333333333333,M1,147,0.16425170068027214,0.20957399290799744,0.16425170068027214,0.42000000000000004,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.983333333333333,M2,147,0.0513214915595868,0.06048818817203819,0.04350592088687327,0.12277777777777776,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.983333333333333,M3_B1400,147,0.02514017771438345,0.02930932034727879,0.022753153363201436,0.0658180377566372,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.983333333333333,M3_B2000,147,0.02200215905576141,0.026421031042609133,0.019540984972929193,0.061141865891712555,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.99,M0,98,0.5061565510204081,0.5182241902642925,-0.5061565510204081,0.736048,3,1
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.99,M1,147,0.15704081632653058,0.20665089362675088,0.15704081632653058,0.43500000000000005,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.99,M2,147,0.02550894431846814,0.0326477428848962,-0.002931468883849844,0.09833333333333327,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.99,M3_B1400,147,0.019878495728688078,0.025591069281489038,0.01279067047976542,0.06795880928100273,3,0
