rho_global,regime,sigma_whitebox_mean,sigma_m0_mean,sigma_m1_mean,sigma_m2_mean,sigma_m3_B1400_mean,sigma_m3_B2000_mean
0.95,G0,0.9618918918918918,0.2538705945945946,1.0,0.989009009009009,0.98834529712713,0.9865542726776119
0.95,G1,0.8559459459459459,0.2538705945945946,1.0,0.9588088088088089,0.9110193744291938,0.9051984423548113
0.95,G2,0.6522972972972974,,1.0,0.8956756756756757,0.7096509120427417,0.707909320463525
0.975,G0,0.9624324324324324,0.3217715135135135,1.0,0.9870270270270272,0.9851720661834275,0.98258215518571
0.975,G1,0.8491891891891892,0.3217715135135135,1.0,0.9384984984984985,0.892445560969079,0.8882093708553166
0.975,G2,0.6424324324324324,,1.0,0.8136636636636636,0.6813188461575219,0.6777893068066759
0.9833333333333332,G0,0.9583783783783784,0.3650671891891892,1.0,0.9795795795795794,0.98146043763028,0.9784723387136801
0.9833333333333332,G1,0.8441891891891892,0.3650671891891892,1.0,0.898878878878879,0.8779161976490866,0.8714156778930258
0.9833333333333332,G2,0.642027027027027,,1.0,0.7342442442442443,0.668167935476184,0.6648961843272719
0.99,G0,0.9566216216216216,0.38507554054054055,1.0,0.9647747747747747,0.9787872849346666,0.9755849921132427
0.99,G1,0.857027027027027,0.38507554054054055,1.0,0.8474974974974975,0.8800174991431285,0.8726146163223053
0.99,G2,0.64,,1.0,0.655035035035035,0.6439756465366981,0.6416817358432414
0.995,G0,0.9558108108108109,0.4015994324324324,1.0,0.927027027027027,0.9795283900633396,0.9765943205509932
0.995,G1,0.8408108108108108,,0.9997297297297297,0.7574074074074074,0.8608744709591303,0.8562188280950055
0.995,G2,0.5963513513513514,,0.9932432432432432,0.5788988988988989,0.6003306954698077,0.5967097757754509
