scope,quantity,point_estimate,mean,median,q025,q975,prob_gt_zero,prob_ge_zero,bootstrap_reps,n_wb_trajectories
ALL,MAE_M1,0.18517117117117118,0.18523588558558562,0.18500900900900902,0.15401779279279307,0.21835450450450444,1.0,1.0,10000,200
ALL,MAE_M2,0.0681534868201535,0.07080606062729394,0.06972105438772108,0.05766972806139472,0.09047888722055385,1.0,1.0,10000,200
ALL,MAE_M3_B1400,0.030368445209561265,0.035109094583488626,0.03299825775671458,0.019643565627451988,0.061705302064764114,1.0,1.0,10000,200
ALL,MAE_M3_B2000,0.02754733262575936,0.03289846713239608,0.030730835940099965,0.01897211911596087,0.05804606570195223,1.0,1.0,10000,200
ALL,DELTA_MAE_M2_MINUS_M3_B1400,0.037785041610592235,0.03569696604380533,0.03597965676758154,0.02662124818367075,0.04330321450190673,1.0,1.0,10000,200
ALL,DELTA_MAE_M2_MINUS_M3_B2000,0.040606154194394145,0.037907593494897876,0.038182759246088965,0.029522426736112276,0.04480406964437831,1.0,1.0,10000,200
G0,MAE_M1,0.04097297297297302,0.04089162702702705,0.04021621621621624,0.020485810810810794,0.0646506756756756,1.0,1.0,10000,200
G0,MAE_M2,0.023639639639639658,0.02476471771771773,0.023779279279279274,0.016567492492492494,0.03833213213213209,1.0,1.0,10000,200
G0,MAE_M3_B1400,0.02363166816074175,0.024096087583495733,0.022940279772838242,0.007663900599387719,0.0473093708634444,1.0,1.0,10000,200
G0,MAE_M3_B2000,0.020930588821220536,0.021733396933180858,0.020308967199598925,0.006995961628865758,0.04460829152392317,1.0,1.0,10000,200
G0,DELTA_MAE_M2_MINUS_M3_B1400,7.97147889790642e-06,0.0006686301342219976,0.0005132564317454884,-0.010010046539120111,0.011706147237346368,0.5331,0.5331,10000,200
G0,DELTA_MAE_M2_MINUS_M3_B2000,0.0027090508184191217,0.0030313207845368705,0.003151904313378827,-0.007308967199598865,0.012291049638909497,0.6888,0.6888,10000,200
G1,MAE_M1,0.15051351351351352,0.15063892972972973,0.15016216216216216,0.11413310810810812,0.18989256756756756,1.0,1.0,10000,200
G1,MAE_M2,0.07054754754754756,0.07201256936936938,0.07133283283283286,0.05838325825825825,0.08963275775775775,1.0,1.0,10000,200
G1,MAE_M3_B1400,0.035528556618686875,0.03957929274622287,0.037171971289015074,0.018170577240402077,0.07440124225154528,1.0,1.0,10000,200
G1,MAE_M3_B2000,0.0315846492111207,0.036437776624774806,0.03379487093656061,0.01795599321998904,0.06874775752006797,1.0,1.0,10000,200
G1,DELTA_MAE_M2_MINUS_M3_B1400,0.03501899092886069,0.032433276623146504,0.03376458637957874,0.012139773764470736,0.04631731063391673,0.9997,0.9997,10000,200
G1,DELTA_MAE_M2_MINUS_M3_B2000,0.03896289833642687,0.035574792744594574,0.036651298301330064,0.017848592875887,0.047333774772295625,1.0,1.0,10000,200
G2,MAE_M1,0.364027027027027,0.3641771,0.36386486486486497,0.3151621621621622,0.41451486486486494,1.0,1.0,10000,200
G2,MAE_M2,0.11027327327327326,0.11564089479479478,0.11332632632632632,0.09180070070070075,0.15246729229229222,1.0,1.0,10000,200
G2,MAE_M3_B1400,0.03194511084925517,0.04165190342074727,0.03830437612278892,0.02421833189614907,0.07669308217590708,1.0,1.0,10000,200
G2,MAE_M3_B2000,0.030126759844936842,0.04052422783923257,0.03749225616644691,0.023944014202483613,0.07416273592596762,1.0,1.0,10000,200
G2,DELTA_MAE_M2_MINUS_M3_B1400,0.07832816242401808,0.0739889913740475,0.07568171846050283,0.05689743024747659,0.07977527465703149,1.0,1.0,10000,200
G2,DELTA_MAE_M2_MINUS_M3_B2000,0.08014651342833641,0.07511666695556221,0.07755186399701418,0.05570401607673435,0.08140272157753352,1.0,1.0,10000,200
